open,high,low,close,volume,timestamp,rsi,ema_9,ema_21,ema_50,ema_200,macd_line,macd_signal,macd_hist,atr,adx,bb_upper,bb_lower,bb_mid,bb_width
178.99,180.18,178.81,179.95,22189.6,1742587200000,57.49999999999997,178.1405597773033,177.7550814864731,177.03338764725703,175.99893960954535,0.30664204672231676,0.07826762940433446,0.2283744173179823,2.1192857142857195,14.299516895607855,181.728184373321,174.58081562667897,178.15449999999998,7.14736874664203
179.94,180.74,178.58,179.01,23769.5,1742590800000,49.648946840521454,178.31444782184263,177.86916498770282,177.11090185716853,176.0289004094504,0.36682227214072327,0.13597855795161223,0.23084371418911104,2.1485714285714335,15.341141468995714,181.5321457648692,174.6408542351308,178.0865,6.891291529738396
179.01,179.12,177.07,177.91,18999.4,1742594400000,47.59615384615384,178.2335582574741,177.872877261548,177.14223903924034,176.04761781831158,0.32204242285726536,0.17319133093274286,0.1488510919245225,2.123571428571434,15.222085104618952,181.09546912478288,174.76953087521707,177.93249999999998,6.325938249565809
177.91,178.92,177.63,178.19,11544.0,1742598000000,55.34391534391531,178.22484660597928,177.90170660140726,177.1833277043682,176.06893505395027,0.3056246785712631,0.19967800046044692,0.10594667811081615,2.083571428571434,15.1115327662691,180.86589371815717,174.8231062818428,177.84449999999998,6.04278743631437
178.2,180.61,178.14,180.28,29520.9,1742601600000,63.98601398601394,178.63587728478345,178.1179150921884,177.30476583360866,176.11083619769207,0.4560025179076206,0.25094290394988167,0.20505961395773892,2.097857142857149,15.827862815020557,180.94352922066003,174.78347077933995,177.8635,6.160058441320075
180.28,181.42,178.57,179.11,34073.0,1742605200000,58.095238095238194,178.73070182782678,178.20810462926218,177.3755593303299,176.14067862358567,0.47528997017508345,0.29581231719492207,0.17947765298016138,2.231428571428576,16.836087180553953,180.91946870128774,174.79053129871224,177.855,6.128937402575502
179.12,181.36,178.85,180.58,20104.7,1742608800000,68.4046692607005,179.10056146226145,178.42373148114743,177.501223670317,176.1848509755898,0.6022497693000162,0.3570998076159409,0.24514996168407527,2.182857142857149,17.772295519977824,181.24769939068742,174.66930060931261,177.95850000000002,6.578398781374801
180.57,181.25,179.97,180.9,13596.8,1742612400000,70.29320987654336,179.46044916980918,178.6488468010431,177.63450901657907,176.23176788130533,0.7203835176822224,0.4297565496291972,0.29062696805302524,2.0821428571428617,18.641631835157128,181.56243834127397,174.53656165872601,178.0495,7.02587668254796
180.9,181.79,180.57,181.65,20995.3,1742616000000,74.58396369137675,179.89835933584737,178.9216789100392,177.79197925122304,176.2856806387053,0.8645580098029768,0.5167168416639532,0.34784116813902366,2.0271428571428607,19.7026392538316,182.07570155845022,174.34729844154978,178.2115,7.728403116900438
181.66,181.75,180.24,180.62,22312.0,1742619600000,69.92907801418446,180.0426874686779,179.07607173639929,177.9028820256849,176.32880819453905,0.8854974778770099,0.5904729689065645,0.2950245089704454,2.027857142857146,20.37989826951222,182.35901598771017,174.40798401228983,178.3835,7.951031975420335
180.63,181.39,180.02,180.44,16030.4,1742623200000,62.98157453936349,180.12214997494232,179.20006521490845,178.00237684820706,176.36971557568793,0.8774529303238694,0.6478689611900256,0.22958396913384382,1.894285714285715,20.799670179553377,182.57872458957212,174.52427541042783,178.55149999999998,8.054449179144285
180.44,180.79,179.74,179.77,11615.6,1742626800000,55.777584708948815,180.05171997995387,179.2518774680986,178.07169540317935,176.40354925155174,0.8077034650862629,0.679835861969273,0.12786760311698986,1.8157142857142847,20.917777976179963,182.68553817384964,174.68746182615035,178.6865,7.998076347699282
179.78,181.56,179.64,180.76,20478.9,1742630400000,57.689110556940996,180.1933759839631,179.38897951645328,178.1771191128586,176.446897020193,0.8228262092438285,0.7084339314241842,0.11439227781964434,1.7757142857142867,21.384311839246376,182.79850175088413,175.06549824911585,178.932,7.73300350176828
180.77,183.64,180.77,182.39,39924.7,1742634000000,62.518409425625904,180.6327007871705,179.66179956041208,178.34233012804063,176.5060323732259,0.9553260662419802,0.7578123583877435,0.19751370785423672,1.8521428571428575,22.806237140324864,183.10435661573848,175.4346433842615,179.2695,7.669713231476976
182.4,182.9,181.75,182.33,16978.3,1742637600000,59.38485804416419,180.9721606297364,179.90436323673828,178.4987093387057,176.56398229986047,1.0434632639899064,0.8149425395081762,0.22852072448173022,1.836428571428572,24.126596348469175,183.17289082437355,176.0841091756264,179.62849999999997,7.088781648747158
