Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_041830,Gamma_HEDGE_REVERSAL,SHORT,2025-11-04 18:30:00,189.71,2025-11-04 21:45:00,185.12,0.02419482367824576,SL_HIT,HEDGE_REVERSAL|MACD:-0.9676|Dist:0.013,173.58465,180.0931,178.31,HEDGE_REVERSAL,CLOSED
TH_071915,Gamma_HEDGE_REVERSAL,LONG,2025-11-07 19:15:00,208.78,2025-11-08 05:30:00,205.22,-0.017051441708975965,SL_HIT,HEDGE_REVERSAL|MACD:0.5368|Dist:0.035,226.5263,205.6483,211.87,HEDGE_REVERSAL,CLOSED
TH_111830,Gamma_HEDGE_REVERSAL,SHORT,2025-11-11 18:30:00,212.28,2025-11-12 10:30:00,216.03,-0.017665347654041832,SL_HIT,HEDGE_REVERSAL|MACD:-0.0756|Dist:0.016,194.2362,215.46419999999998,207.33,HEDGE_REVERSAL,CLOSED
TH_121345,Gamma_NORMAL,SHORT,2025-11-12 13:45:00,218.24,2025-11-12 15:30:00,208.97,0.042476173020527905,TP_HIT,NORMAL|MACD:-0.0094|Dist:0.005,210.6016,212.84740000000002,208.97,NORMAL,CLOSED
TH_130845,Gamma_NORMAL,SHORT,2025-11-13 08:45:00,214.18,2025-11-13 14:45:00,211.7,0.01157904566252693,SL_HIT,NORMAL|MACD:-0.0876|Dist:0.004,206.6837,210.2719,208.19,NORMAL,CLOSED
TH_131915,Gamma_HEDGE_REVERSAL,SHORT,2025-11-13 19:15:00,195.34,2025-11-13 23:00:00,199.4,-0.020784273574280754,SL_HIT,HEDGE_REVERSAL|MACD:-0.8588|Dist:0.054,178.73610000000002,198.27009999999999,191.35,HEDGE_REVERSAL,CLOSED
TH_141000,Gamma_HEDGE_REVERSAL,SHORT,2025-11-14 10:00:00,183.74,2025-11-14 12:45:00,177.73,0.03270926308914781,SL_HIT,HEDGE_REVERSAL|MACD:-0.0319|Dist:0.036,168.12210000000002,176.62879999999998,174.88,HEDGE_REVERSAL,CLOSED
TH_201800,Gamma_HEDGE_REVERSAL,SHORT,2025-11-20 18:00:00,163.32,2025-11-20 21:30:00,166.1,-0.017021797697771256,SL_HIT,HEDGE_REVERSAL|MACD:-0.9506|Dist:0.019,149.4378,165.76979999999998,160.31,HEDGE_REVERSAL,CLOSED
TH_232030,Gamma_HEDGE_REVERSAL,LONG,2025-11-23 20:30:00,168.16,2025-11-25 08:45:00,178.12,0.05922930542340633,SL_HIT,HEDGE_REVERSAL|MACD:0.2123|Dist:0.015,182.4536,178.3485,180.15,HEDGE_REVERSAL,CLOSED
TH_262030,Gamma_NORMAL,SHORT,2025-11-26 20:30:00,185.25,2025-11-27 14:15:00,183.76,0.008043184885290197,SL_HIT,NORMAL|MACD:-0.0794|Dist:0.001,178.76624999999999,183.7493,181.93,NORMAL,CLOSED
TH_010100,Gamma_HEDGE_REVERSAL,SHORT,2025-12-01 01:00:00,170.9,2025-12-01 16:30:00,164.64,0.03662960795787021,SL_HIT,HEDGE_REVERSAL|MACD:-1.0335|Dist:0.032,156.3735,164.5391,162.91,HEDGE_REVERSAL,CLOSED
TH_021415,Gamma_HEDGE_REVERSAL,LONG,2025-12-02 14:15:00,173.59,2025-12-02 19:00:00,188.67,0.08687136355780854,TP_HIT,HEDGE_REVERSAL|MACD:0.3426|Dist:0.013,188.34515,186.26850000000002,188.67,HEDGE_REVERSAL,CLOSED
TH_110115,Gamma_HEDGE_REVERSAL,SHORT,2025-12-11 01:15:00,192.96,2025-12-11 20:45:00,196.31,-0.01736111111111108,SL_HIT,HEDGE_REVERSAL|MACD:-0.6036|Dist:0.024,176.5584,195.8544,187.51,HEDGE_REVERSAL,CLOSED
