Grid_ID,Side,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Qty_Closed,PnL_USD,PnL_Pct,Reason,Entry_ADX,Duration_Min,MAE_Pct
G_1738073700,LONG,2025-01-28 14:15:00,2025-01-28 14:30:00,295.96,298.13800000000003,0.1,0.22,0.74,TP_MAIN_MID,18.44,15,-0.23
G_1738073700,LONG,2025-01-28 14:15:00,2025-01-28 14:45:00,295.96,295.96,0.1,0.0,0.0,RUNNER_BE,18.44,30,-0.42
G_1736735400,LONG,2025-01-13 02:30:00,2025-01-28 22:00:00,281.24,281.24,0.1,0.0,0.0,RUNNER_BE,19.34,22770,-8.91
G_1738081800,LONG,2025-01-28 16:30:00,2025-01-29 07:15:00,294.03,294.3905,0.1,0.04,0.12,TP_MAIN_MID,14.66,885,-4.49
G_1738081800,LONG,2025-01-28 16:30:00,2025-01-29 09:15:00,294.03,294.03,0.1,0.0,0.0,RUNNER_BE,14.66,1005,-4.49
G_1738155600,LONG,2025-01-29 13:00:00,2025-01-29 20:45:00,291.4,291.6795,0.1,0.03,0.1,TP_MAIN_MID,17.52,465,-2.75
G_1738155600,LONG,2025-01-29 13:00:00,2025-01-29 23:45:00,291.4,291.4,0.1,0.0,0.0,RUNNER_BE,17.52,645,-2.75
G_1738196100,LONG,2025-01-30 00:15:00,2025-01-30 01:15:00,287.64,294.3505,0.1,0.67,2.33,TP_MAIN_MID,13.6,60,-0.26
G_1738011600,SHORT,2025-01-27 21:00:00,2025-01-30 09:30:00,307.7,307.7,0.1,0.0,0.0,RUNNER_BE,19.37,3630,-0.93
G_1737346500,SHORT,2025-01-20 04:15:00,2025-01-30 11:45:00,311.94,311.94,0.1,0.0,0.0,RUNNER_BE,28.42,14850,-21.33
G_1738266300,SHORT,2025-01-30 19:45:00,2025-01-30 20:30:00,320.26,317.164,0.1,0.31,0.97,TP_MAIN_MID,28.08,45,-0.67
G_1738266300,SHORT,2025-01-30 19:45:00,2025-01-31 01:30:00,320.26,320.26,0.1,0.0,0.0,RUNNER_BE,28.08,345,-0.67
G_1738287000,SHORT,2025-01-31 01:30:00,2025-01-31 02:15:00,319.23,317.268,0.1,0.2,0.61,TP_MAIN_MID,12.64,45,-0.52
G_1738296000,LONG,2025-01-31 04:00:00,2025-01-31 05:15:00,314.67,316.7545,0.1,0.21,0.66,TP_MAIN_MID,13.37,75,-0.67
G_1738287000,SHORT,2025-01-31 01:30:00,2025-01-31 05:45:00,319.23,319.23,0.1,0.0,0.0,RUNNER_BE,12.64,255,-0.52
G_1738305900,SHORT,2025-01-31 06:45:00,2025-01-31 08:15:00,322.12,317.84350000000006,0.1,0.43,1.33,TP_MAIN_MID,14.31,90,-1.01
G_1738305900,SHORT,2025-01-31 06:45:00,2025-01-31 11:00:00,322.12,322.12,0.1,0.0,0.0,RUNNER_BE,14.31,255,-1.01
G_1737905400,SHORT,2025-01-26 15:30:00,2025-01-31 12:45:00,329.07,329.07,0.1,0.0,0.0,RUNNER_BE,11.33,7035,-1.64
G_1738328400,SHORT,2025-01-31 13:00:00,2025-02-01 04:15:00,330.01,329.918,0.1,0.01,0.03,TP_MAIN_MID,27.88,915,-5.82
G_1738322100,SHORT,2025-01-31 11:15:00,2025-02-01 07:45:00,325.39,325.383,0.1,0.0,0.0,TP_MAIN_MID,15.09,1230,-7.33
G_1738296000,LONG,2025-01-31 04:00:00,2025-02-01 10:45:00,314.67,314.67,0.1,0.0,0.0,RUNNER_BE,13.37,1845,-0.67
G_1738196100,LONG,2025-01-30 00:15:00,2025-02-02 03:15:00,287.64,287.64,0.1,0.0,0.0,RUNNER_BE,13.6,4500,-0.26
G_1738114200,SHORT,2025-01-29 01:30:00,2025-02-02 15:00:00,287.4,287.1895,0.1,0.02,0.07,TP_MAIN_MID,23.88,6570,-21.51
G_1736801100,SHORT,2025-01-13 20:45:00,2025-02-02 18:30:00,279.15,278.506,0.1,0.06,0.23,TP_MAIN_MID,18.11,28665,-35.59
G_1736801100,SHORT,2025-01-13 20:45:00,2025-02-03 19:30:00,279.15,279.15,0.1,0.0,0.0,RUNNER_BE,18.11,30165,-35.59
G_1738637100,LONG,2025-02-04 02:45:00,2025-02-04 19:00:00,267.03,267.06100000000004,0.1,0.0,0.01,TP_MAIN_MID,19.53,975,-6.78
G_1738637100,LONG,2025-02-04 02:45:00,2025-02-04 19:45:00,267.03,267.03,0.1,0.0,0.0,RUNNER_BE,19.53,1020,-6.78
G_1738699200,LONG,2025-02-04 20:00:00,2025-02-04 22:15:00,257.82,263.61800000000005,0.1,0.58,2.25,TP_MAIN_MID,26.12,135,-2.33
G_1738699200,LONG,2025-02-04 20:00:00,2025-02-05 20:30:00,257.82,257.82,0.1,0.0,0.0,RUNNER_BE,26.12,1470,-2.33
G_1738808100,SHORT,2025-02-06 02:15:00,2025-02-06 13:00:00,262.48,262.3405,0.1,0.01,0.05,TP_MAIN_MID,18.32,645,-1.68
G_1738808100,SHORT,2025-02-06 02:15:00,2025-02-11 05:00:00,262.48,262.48,0.1,0.0,0.0,RUNNER_BE,18.32,7365,-1.68
