Timestamp,Event_Type,Close_Price,BB_Width_T0,BB_Expansion_Rate,RSI_T0,Width_T-1,Width_T-2,Width_T-3,Did_Revert_To_Mean,Bars_To_Mean,MAE_To_Mean_%,Did_Touch_Opposite,Bars_To_Opposite,Context_1h_State,Context_1h_Width,Context_1h_RSI,Context_4h_State,Context_4h_Width,Context_4h_RSI
2025-01-23 13:45:00,UPPER_BREAK,337.19,1.929,1.05,57.31,1.692,1.702,1.835,True,6,2.838,True,30,NEUTRAL,7.94,38.57,NEUTRAL,13.22,47.69
2025-01-24 05:00:00,UPPER_BREAK,339.23,3.027,1.0,67.29,2.741,2.783,3.02,True,18,4.602,True,42,NEUTRAL,4.32,44.41,NEUTRAL,14.7,36.34
2025-01-24 12:00:00,UPPER_BREAK,354.25,2.329,1.04,62.66,2.224,2.263,2.245,True,6,0.934,True,14,NEAR_UPPER,10.27,71.14,NEUTRAL,14.69,41.56
2025-01-24 15:30:00,LOWER_BREAK,345.43,2.469,0.93,30.93,2.239,2.409,2.657,True,2,0.127,True,10,NEUTRAL,10.59,70.27,NEUTRAL,14.53,44.53
2025-01-24 20:15:00,LOWER_BREAK,344.84,2.6,1.21,35.6,2.274,2.157,2.156,True,20,4.219,True,62,NEUTRAL,8.67,34.82,NEUTRAL,14.42,38.87
2025-01-25 10:15:00,LOWER_BREAK,329.49,1.186,1.07,30.17,1.13,1.086,1.107,True,2,0.021,True,6,NEUTRAL,9.13,33.42,NEUTRAL,10.79,48.33
2025-01-25 11:45:00,UPPER_BREAK,333.9,1.196,1.2,59.35,1.085,0.982,0.996,True,3,0.0,True,22,NEUTRAL,8.77,38.3,NEUTRAL,10.79,48.33
2025-01-25 15:00:00,UPPER_BREAK,334.59,1.516,1.13,55.86,1.361,1.341,1.342,True,5,0.927,True,9,NEUTRAL,5.73,54.02,NEUTRAL,10.24,47.82
2025-01-25 23:30:00,LOWER_BREAK,326.72,1.138,1.16,43.06,0.985,0.978,0.984,True,3,0.205,True,16,BREAK_DOWN,2.8,38.67,NEAR_LOWER,9.34,43.04
2025-01-26 03:30:00,UPPER_BREAK,331.54,1.66,0.98,67.59,1.273,1.45,1.695,True,11,1.427,True,23,NEUTRAL,3.03,46.68,NEUTRAL,9.08,50.7
2025-01-26 04:00:00,UPPER_BREAK,331.55,2.028,1.59,61.09,1.758,1.66,1.273,True,9,1.424,True,21,NEUTRAL,3.03,46.68,NEUTRAL,9.08,50.7
2025-01-26 09:30:00,LOWER_BREAK,325.26,2.614,1.05,26.52,2.718,2.693,2.494,True,6,0.274,True,23,NEAR_LOWER,3.18,42.34,NEUTRAL,9.22,45.28
2025-01-26 15:45:00,UPPER_BREAK,329.43,1.119,1.03,63.47,0.983,1.057,1.091,True,19,1.527,True,20,NEUTRAL,2.5,55.13,NEUTRAL,9.4,31.71
2025-01-26 16:15:00,UPPER_BREAK,330.02,1.31,1.33,63.74,1.128,1.119,0.983,True,17,1.345,True,18,NEUTRAL,2.55,57.59,NEUTRAL,9.4,33.77
2025-01-26 18:15:00,UPPER_BREAK,334.06,2.713,1.33,78.6,2.473,2.236,2.042,True,9,0.12,True,10,NEAR_UPPER,3.03,47.98,NEUTRAL,9.4,33.77
2025-01-26 21:00:00,LOWER_BREAK,326.74,2.451,1.07,28.95,2.212,2.168,2.293,True,48,11.829,True,63,NEUTRAL,3.19,46.94,BREAK_DOWN,10.74,26.38
2025-01-27 01:00:00,LOWER_BREAK,307.48,8.224,1.14,16.92,7.621,7.327,7.219,True,32,6.306,True,47,BREAK_DOWN,6.55,25.43,BREAK_DOWN,13.27,20.48
2025-01-27 06:30:00,LOWER_BREAK,297.22,3.472,0.98,25.45,3.349,3.442,3.529,True,10,3.072,True,25,NEAR_LOWER,16.19,14.26,BREAK_DOWN,16.55,22.67
2025-01-27 07:15:00,LOWER_BREAK,288.69,5.407,1.56,9.37,3.93,3.646,3.472,True,7,0.021,True,22,NEAR_LOWER,17.19,11.49,BREAK_DOWN,16.55,22.67
2025-01-27 12:45:00,UPPER_BREAK,299.92,2.957,0.93,63.18,2.529,2.694,3.187,True,18,2.364,True,22,NEUTRAL,19.4,27.56,NEAR_LOWER,20.32,28.96
2025-01-27 18:15:00,LOWER_BREAK,293.95,3.987,1.3,27.39,3.455,3.361,3.062,True,8,0.782,True,11,NEAR_LOWER,8.59,40.76,NEAR_LOWER,21.16,23.68
2025-01-28 01:15:00,LOWER_BREAK,298.21,2.81,0.65,33.99,2.967,3.599,4.341,True,4,0.057,True,13,NEUTRAL,5.9,55.67,NEUTRAL,19.7,34.03
2025-01-28 12:30:00,LOWER_BREAK,296.48,1.785,1.05,36.38,1.743,1.706,1.698,True,8,1.012,True,54,NEAR_LOWER,4.87,37.65,NEUTRAL,20.01,29.95
2025-01-28 14:00:00,LOWER_BREAK,294.42,2.348,1.22,29.04,2.044,2.014,1.926,True,2,0.319,True,48,NEUTRAL,4.86,32.66,NEUTRAL,20.01,29.95
2025-01-28 18:45:00,LOWER_BREAK,289.06,3.209,1.35,19.33,2.715,2.439,2.369,True,22,2.844,True,29,BREAK_DOWN,5.74,16.69,NEAR_LOWER,20.32,27.99
2025-01-28 20:45:00,LOWER_BREAK,285.3,3.8,0.95,26.62,3.693,3.803,4.008,True,14,1.563,True,21,BREAK_DOWN,7.08,22.62,NEAR_LOWER,20.85,25.28
2025-01-28 21:45:00,LOWER_BREAK,282.79,4.637,1.23,30.43,4.121,3.81,3.766,True,10,0.69,True,17,BREAK_DOWN,8.38,17.74,NEAR_LOWER,20.85,25.28
2025-01-29 02:00:00,UPPER_BREAK,289.96,2.887,1.16,67.67,2.628,2.424,2.494,True,27,3.821,True,32,NEUTRAL,9.04,33.27,NEUTRAL,20.79,27.46
2025-01-29 04:15:00,UPPER_BREAK,294.76,4.223,1.34,83.01,3.816,3.48,3.155,True,18,2.131,True,23,NEUTRAL,7.88,47.91,NEUTRAL,20.2,40.58
2025-01-29 13:00:00,LOWER_BREAK,291.4,2.646,0.94,29.29,2.597,2.729,2.807,True,16,1.541,True,18,NEUTRAL,7.58,65.56,NEUTRAL,18.21,45.2
2025-01-29 18:45:00,UPPER_BREAK,293.8,2.279,1.18,66.47,1.966,1.894,1.933,True,1,0.0,True,1,NEUTRAL,6.52,49.59,NEUTRAL,16.6,50.48
2025-01-29 19:15:00,LOWER_BREAK,283.91,3.04,1.55,38.03,2.383,2.279,1.966,True,1,0.106,True,1,NEUTRAL,6.01,43.64,NEUTRAL,16.6,50.48
2025-01-29 19:30:00,UPPER_BREAK,296.29,3.637,1.6,60.15,3.04,2.383,2.279,True,2,0.813,True,19,NEUTRAL,6.01,43.64,NEUTRAL,16.6,50.48
2025-01-29 20:15:00,UPPER_BREAK,299.67,4.834,1.33,63.67,3.978,3.863,3.637,True,10,0.764,True,16,NEUTRAL,5.42,44.55,NEUTRAL,14.44,42.91
2025-01-30 00:15:00,LOWER_BREAK,287.64,4.173,0.84,26.53,4.901,5.095,4.963,True,4,0.261,True,15,NEUTRAL,4.96,45.39,NEUTRAL,9.56,53.92
