Trade_ID,Strategy,Side,Entry_Time,Exit_Time,PnL_Pct,Exit_Reason,Rem_Qty,Capital_After,Closed_Qty
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.005300,1970-01-01 00:28:58.009800,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.067400,1970-01-01 00:28:58.114200,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.114200,1970-01-01 00:28:58.123200,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.123200,1970-01-01 00:28:58.129500,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.154700,1970-01-01 00:28:58.170900,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.170900,1970-01-01 00:28:58.179000,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.195200,1970-01-01 00:28:58.197900,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.466100,1970-01-01 00:28:58.473300,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.491300,1970-01-01 00:28:58.503900,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.507500,1970-01-01 00:28:58.524600,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.524600,1970-01-01 00:28:58.533600,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.533600,1970-01-01 00:28:58.536300,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.536300,1970-01-01 00:28:58.539000,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.539000,1970-01-01 00:28:58.543500,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.543500,1970-01-01 00:28:58.551600,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.551600,1970-01-01 00:28:58.554300,0.0,,0.31688420031726106,1168.8978026717596,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:56.779500,1970-01-01 00:28:58.554300,0.035375701647716876,TRAILING_STOP,0.0,1172.273426371139,0.4005852343404482
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.554300,1970-01-01 00:28:58.559700,0.0,,0.3249873573453168,1172.273426371139,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.559700,1970-01-01 00:28:58.563300,0.0,,0.3249873573453168,1172.273426371139,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:56.782200,1970-01-01 00:28:58.563300,0.15506799637352672,TRAILING_STOP,0.0,1189.4195096411013,0.4009841737596414
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:56.802900,1970-01-01 00:28:58.563300,0.1683977585037656,TRAILING_STOP,0.0,1208.104938550242,0.39604554703562456
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:56.803800,1970-01-01 00:28:58.563300,0.1868281446321373,TRAILING_STOP,0.0,1228.835404595444,0.3872681869083168
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:56.806500,1970-01-01 00:28:58.563300,0.20176099767027542,TRAILING_STOP,0.0,1251.2228212220195,0.38015650580022936
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.563300,1970-01-01 00:28:58.566900,0.0,,0.3274462145832552,1251.2228212220195,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.566900,1970-01-01 00:28:58.568700,0.0,,0.3301768331103272,1251.2228212220195,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.571400,1970-01-01 00:28:58.572300,0.0,,0.3301768331103272,1251.2228212220195,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.567800,1970-01-01 00:28:58.577700,0.019358375046539488,TP1_MID_BAND,0.0,1253.64498528602,0.5176117243296321
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:58.591200,1970-01-01 00:28:58.593000,0.0,,0.3301768331103272,1253.64498528602,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.593900,1970-01-01 00:28:58.602000,0.0,,0.5176117243296321,1253.64498528602,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.608300,1970-01-01 00:28:58.612800,0.0,,0.9808661178984588,1253.64498528602,
