Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Fibo_Target,SL,Peak_Price,status
FL_142900,Flash_Vol_Breakout,SHORT,2025-07-09 14:29:00,298.32,2025-07-09 14:37:00,297.01,0.004391257709841789,SL_FLASH,295.93344,296.98278,296.39,CLOSED
FL_145600,Flash_Vol_Breakout,LONG,2025-07-09 14:56:00,298.46,2025-07-09 15:14:00,296.96,-0.005025799102057227,SL_FLASH,300.84767999999997,297.26615999999996,298.89,CLOSED
FL_172200,Flash_Vol_Breakout,SHORT,2025-07-09 17:22:00,297.19,2025-07-09 17:50:00,295.48,0.005753894814764896,SL_FLASH,294.81248,295.4397,294.85,CLOSED
FL_180800,Flash_Vol_Breakout,LONG,2025-07-09 18:08:00,298.19,2025-07-09 19:18:00,300.7,0.008417451960159599,TP_FLASH,300.57552,296.99724,300.7,CLOSED
FL_210900,Flash_Vol_Breakout,LONG,2025-07-09 21:09:00,300.26,2025-07-09 21:26:00,301.32,0.003530273762738967,SL_FLASH,302.66208,301.5956,302.2,CLOSED
FL_095600,Flash_Vol_Breakout,SHORT,2025-07-10 09:56:00,294.22,2025-07-10 10:54:00,295.43,-0.004112568826048465,SL_FLASH,291.86624,295.39688,293.18,CLOSED
FL_154100,Flash_Vol_Breakout,SHORT,2025-07-10 15:41:00,294.36,2025-07-10 15:56:00,295.61,-0.004246500883272183,SL_FLASH,292.00512000000003,295.53744,294.36,CLOSED
FL_211700,Flash_Vol_Breakout,LONG,2025-07-10 21:17:00,308.65,2025-07-10 21:20:00,309.85,0.0038878989146283673,SL_FLASH,311.1192,310.27819999999997,310.9,CLOSED
FL_214200,Flash_Vol_Breakout,LONG,2025-07-10 21:42:00,314.19,2025-07-10 21:45:00,311.05,-0.009993952703777925,SL_FLASH,316.70352,312.93324,314.19,CLOSED
FL_063100,Flash_Vol_Breakout,SHORT,2025-07-11 06:31:00,311.22,2025-07-11 06:46:00,308.7,0.008097165991902957,TP_FLASH,308.73024000000004,309.64806,308.7,CLOSED
FL_064700,Flash_Vol_Breakout,SHORT,2025-07-11 06:47:00,307.82,2025-07-11 07:10:00,307.27,0.0017867584952245188,SL_FLASH,305.35744,306.83244,306.22,CLOSED
FL_083500,Flash_Vol_Breakout,LONG,2025-07-11 08:35:00,311.92,2025-07-11 08:54:00,313.37,0.0046486278532956804,SL_FLASH,314.41536,313.59156,314.22,CLOSED
FL_122000,Flash_Vol_Breakout,SHORT,2025-07-11 12:20:00,312.28,2025-07-11 12:47:00,311.33,0.0030421416677340486,SL_FLASH,309.78175999999996,311.24124,310.62,CLOSED
FL_145200,Flash_Vol_Breakout,SHORT,2025-07-11 14:52:00,309.18,2025-07-11 14:55:00,310.44,-0.004075295944110198,SL_FLASH,306.70656,310.41672,309.18,CLOSED
FL_155300,Flash_Vol_Breakout,SHORT,2025-07-11 15:53:00,307.64,2025-07-11 15:55:00,304.76,0.00936159147054998,TP_FLASH,305.17888,308.87056,304.76,CLOSED
FL_203200,Flash_Vol_Breakout,SHORT,2025-07-11 20:32:00,305.65,2025-07-11 20:36:00,306.91,-0.004122362178963022,SL_FLASH,303.2048,306.8726,305.15,CLOSED
FL_205800,Flash_Vol_Breakout,SHORT,2025-07-11 20:58:00,303.98,2025-07-11 21:12:00,302.83,0.0037831436278703665,SL_FLASH,301.54816,302.66412,302.06,CLOSED
FL_213700,Flash_Vol_Breakout,SHORT,2025-07-11 21:37:00,301.98,2025-07-11 21:44:00,298.85,0.010364924829458888,TP_FLASH,299.56416,300.7002,298.85,CLOSED
FL_003500,Flash_Vol_Breakout,SHORT,2025-07-12 00:35:00,293.71,2025-07-12 00:53:00,295.33,-0.0055156446835313904,SL_FLASH,291.36032,294.88484,293.68,CLOSED
