Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
SN_042306,Sniper_1H_1m,LONG,2025-04-04 23:06:00,151.8,2025-04-05 06:46:00,150.8,-0.006587615283267457,SL_SNIPER,NearLevel:151.70|Dist:0.0015,154.53240000000002,150.88920000000002,151.8,CLOSED
SN_050647,Sniper_1H_1m,LONG,2025-04-05 06:47:00,150.7,2025-04-05 09:26:00,153.49,0.01851360318513617,TP_SNIPER,NearLevel:151.70|Dist:0.0029,153.4126,149.79579999999999,150.7,CLOSED
SN_050948,Sniper_1H_1m,SHORT,2025-04-05 09:48:00,153.71,2025-04-05 10:51:00,154.7,-0.006440700019517146,SL_SNIPER,NearLevel:153.99|Dist:0.0001,150.94322,154.63226,153.71,CLOSED
SN_051117,Sniper_1H_1m,LONG,2025-04-05 11:17:00,154.05,2025-04-05 12:41:00,152.76,-0.008373904576436355,SL_SNIPER,NearLevel:153.60|Dist:0.0020,156.8229,153.12570000000002,154.05,CLOSED
SN_051244,Sniper_1H_1m,LONG,2025-04-05 12:44:00,152.66,2025-04-05 13:20:00,151.48,-0.007729595178828814,SL_SNIPER,NearLevel:152.47|Dist:0.0019,155.40788,151.74403999999998,152.66,CLOSED
SN_051409,Sniper_1H_1m,SHORT,2025-04-05 14:09:00,151.78,2025-04-05 23:53:00,152.91,-0.0074449861641849744,SL_SNIPER,NearLevel:151.65|Dist:0.0008,149.04796,152.69068000000001,151.78,CLOSED
SN_052355,Sniper_1H_1m,SHORT,2025-04-05 23:55:00,152.82,2025-04-06 03:03:00,149.97,0.01864939144091084,TP_SNIPER,NearLevel:152.15|Dist:0.0019,150.06923999999998,153.73692,152.82,CLOSED
SN_060304,Sniper_1H_1m,LONG,2025-04-06 03:04:00,150.02,2025-04-06 06:56:00,149.09,-0.006199173443540906,SL_SNIPER,NearLevel:150.18|Dist:0.0010,152.72036,149.11988000000002,150.02,CLOSED
SN_071015,Sniper_1H_1m,SHORT,2025-04-07 10:15:00,123.92,2025-04-07 10:16:00,124.78,-0.0069399612653324675,SL_SNIPER,NearLevel:123.22|Dist:0.0008,121.68944,124.66352,123.92,CLOSED
SN_071017,Sniper_1H_1m,SHORT,2025-04-07 10:17:00,124.78,2025-04-07 11:35:00,122.21,0.020596249398942196,TP_SNIPER,NearLevel:123.22|Dist:0.0008,122.53396,125.52868000000001,124.78,CLOSED
SN_071400,Sniper_1H_1m,SHORT,2025-04-07 14:00:00,130.06,2025-04-07 14:10:00,130.98,-0.00707365831154842,SL_SNIPER,NearLevel:130.95|Dist:0.0000,127.71892,130.84036,130.06,CLOSED
SN_071415,Sniper_1H_1m,SHORT,2025-04-07 14:15:00,132.88,2025-04-07 14:16:00,133.94,-0.007977122215532829,SL_SNIPER,NearLevel:130.95|Dist:0.0000,130.48816,133.67728,132.88,CLOSED
SN_071417,Sniper_1H_1m,SHORT,2025-04-07 14:17:00,135.57,2025-04-07 14:20:00,131.98,0.02648078483440292,TP_SNIPER,NearLevel:130.95|Dist:0.0000,133.12974,136.38342,135.57,CLOSED
SN_071453,Sniper_1H_1m,SHORT,2025-04-07 14:53:00,131.33,2025-04-07 15:02:00,132.23,-0.006852965811314834,SL_SNIPER,NearLevel:130.95|Dist:0.0000,128.96606,132.11798000000002,131.33,CLOSED
SN_071838,Sniper_1H_1m,LONG,2025-04-07 18:38:00,131.39,2025-04-07 20:42:00,133.78,0.018190121013775897,TP_SNIPER,NearLevel:130.95|Dist:0.0003,133.75502,130.60165999999998,131.39,CLOSED
SN_080114,Sniper_1H_1m,SHORT,2025-04-08 01:14:00,131.28,2025-04-08 01:23:00,132.14,-0.006550883607556256,SL_SNIPER,NearLevel:134.91|Dist:0.0021,128.91696,132.06768,131.28,CLOSED
SN_080129,Sniper_1H_1m,SHORT,2025-04-08 01:29:00,132.83,2025-04-08 01:36:00,133.82,-0.007453135586840176,SL_SNIPER,NearLevel:134.91|Dist:0.0021,130.43906,133.62698,132.83,CLOSED
SN_080137,Sniper_1H_1m,SHORT,2025-04-08 01:37:00,133.96,2025-04-08 01:58:00,134.93,-0.007240967452971027,SL_SNIPER,NearLevel:134.91|Dist:0.0021,131.54872,134.76376000000002,133.96,CLOSED
SN_080236,Sniper_1H_1m,LONG,2025-04-08 02:36:00,134.28,2025-04-08 03:19:00,133.43,-0.00633005659815307,SL_SNIPER,NearLevel:133.85|Dist:0.0016,136.69704000000002,133.47432,134.28,CLOSED
SN_080343,Sniper_1H_1m,LONG,2025-04-08 03:43:00,133.46,2025-04-08 06:04:00,132.63,-0.006219091862730499,SL_SNIPER,NearLevel:133.85|Dist:0.0024,135.86228,132.65924,133.46,CLOSED
SN_080803,Sniper_1H_1m,SHORT,2025-04-08 08:03:00,130.74,2025-04-08 09:10:00,131.61,-0.006654428636989479,SL_SNIPER,NearLevel:130.89|Dist:0.0005,128.38668,131.52444,130.74,CLOSED
SN_080942,Sniper_1H_1m,SHORT,2025-04-08 09:42:00,132.1,2025-04-08 11:43:00,132.96,-0.006510219530658695,SL_SNIPER,NearLevel:130.89|Dist:0.0000,129.7222,132.8926,132.1,CLOSED
SN_081200,Sniper_1H_1m,SHORT,2025-04-08 12:00:00,134.07,2025-04-08 13:25:00,135.11,-0.0077571417916015555,SL_SNIPER,NearLevel:132.69|Dist:0.0011,131.65673999999999,134.87442,134.07,CLOSED
SN_081329,Sniper_1H_1m,SHORT,2025-04-08 13:29:00,134.84,2025-04-08 14:42:00,132.35,0.018466330465737237,TP_SNIPER,NearLevel:133.07|Dist:0.0018,132.41288,135.64904,134.84,CLOSED
SN_090824,Sniper_1H_1m,SHORT,2025-04-09 08:24:00,129.41,2025-04-09 11:05:00,126.72,0.020786647090642128,TP_SNIPER,NearLevel:129.43|Dist:0.0018,127.08062,130.18646,129.41,CLOSED
