Grid_ID,Side,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Qty_Closed,PnL_USD,PnL_Pct,Reason,Entry_RSI,Entry_ADX,Entry_BBW,System_Load_Entry,System_Load_Exit,MAE_Pct,Duration_Min
G_1738422000,LONG,2025-02-01 15:00:00,2025-02-01 18:45:00,312.41,312.41,0.1,0.0,0.0,RUNNER_BE,46.1,43.55,0.0217,9,10,-0.44,225
G_1738436400,LONG,2025-02-01 19:00:00,2025-06-10 15:15:00,310.0,310.183,0.1,0.02,0.06,TP_MAIN_MID,33.35,28.64,0.0198,9,10,-63.21,185535
G_1738436400,LONG,2025-02-01 19:00:00,2025-06-10 15:30:00,310.0,310.0,0.1,0.0,0.0,RUNNER_BE,33.35,28.64,0.0198,9,10,-63.21,185550
G_1749572100,LONG,2025-06-10 16:15:00,2025-06-10 18:45:00,304.57,306.088,0.1,0.15,0.5,TP_MAIN_MID,34.57,38.24,0.0465,9,10,-0.76,150
G_1749572100,LONG,2025-06-10 16:15:00,2025-06-10 19:00:00,304.57,304.57,0.1,0.0,0.0,RUNNER_BE,34.57,38.24,0.0465,9,10,-0.76,165
G_1749583800,SHORT,2025-06-10 19:30:00,2025-06-10 19:45:00,306.72,305.47249999999997,0.1,0.12,0.41,TP_MAIN_MID,55.92,20.1,0.0201,9,10,-0.01,15
G_1749583800,SHORT,2025-06-10 19:30:00,2025-06-10 20:45:00,306.72,306.72,0.1,0.0,0.0,RUNNER_BE,55.92,20.1,0.0201,9,10,-0.25,75
G_1749589200,SHORT,2025-06-10 21:00:00,2025-06-10 21:15:00,307.0,305.556,0.1,0.14,0.47,TP_MAIN_MID,52.9,17.21,0.016,9,10,-0.29,15
G_1749589200,SHORT,2025-06-10 21:00:00,2025-06-10 21:30:00,307.0,307.0,0.1,0.0,0.0,RUNNER_BE,52.9,17.21,0.016,9,10,-0.62,30
G_1749591900,SHORT,2025-06-10 21:45:00,2025-06-10 22:30:00,309.31,306.3455,0.1,0.3,0.96,TP_MAIN_MID,65.93,16.55,0.0192,9,10,-0.76,45
G_1749591900,SHORT,2025-06-10 21:45:00,2025-06-11 00:15:00,309.31,309.31,0.1,0.0,0.0,RUNNER_BE,65.93,16.55,0.0192,9,10,-0.76,150
G_1749612600,SHORT,2025-06-11 03:30:00,2025-06-11 10:30:00,309.04,308.934,0.1,0.01,0.03,TP_MAIN_MID,51.36,11.55,0.0119,9,10,-1.31,420
G_1749612600,SHORT,2025-06-11 03:30:00,2025-06-11 11:30:00,309.04,309.04,0.1,0.0,0.0,RUNNER_BE,51.36,11.55,0.0119,9,10,-1.31,480
G_1749645000,SHORT,2025-06-11 12:30:00,2025-06-11 16:00:00,316.62,313.60299999999995,0.1,0.3,0.95,TP_MAIN_MID,77.84,16.81,0.0265,9,10,-1.17,210
G_1749645000,SHORT,2025-06-11 12:30:00,2025-07-11 08:45:00,316.62,316.62,0.1,0.0,0.0,RUNNER_BE,77.84,16.81,0.0265,9,10,-1.17,42975
G_1752224400,SHORT,2025-07-11 09:00:00,2025-07-11 11:45:00,315.71,313.244,0.1,0.25,0.78,TP_MAIN_MID,57.61,21.69,0.0331,9,10,-0.78,165
G_1752224400,SHORT,2025-07-11 09:00:00,2025-07-13 14:15:00,315.71,315.71,0.1,0.0,0.0,RUNNER_BE,57.61,21.69,0.0331,9,10,-0.78,3195
