Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Mode,status,Peak_Price,Rem_Qty,SL,TP_Target
ECO_162300,GAMMA,SHORT,2025-10-16 23:00:00,224.37,2025-10-17 08:45:00,204.65,0.08789053795070642,SL_HIT,GAMMA_HEDGE,CLOSED,224.37,1.0,204.09539999999998,216.51704999999998
ECO_162315,GAMMA,SHORT,2025-10-16 23:15:00,224.11,2025-10-17 08:45:00,204.65,0.08683235910936597,SL_HIT,GAMMA_HEDGE,CLOSED,224.11,1.0,204.09539999999998,216.26615
ECO_170900,GAMMA,SHORT,2025-10-17 09:00:00,206.31,2025-10-17 11:00:00,210.68,-0.02118171683389077,SL_HIT,GAMMA_HEDGE,CLOSED,206.31,1.0,209.40464999999998,199.08915
ECO_170915,GAMMA,SHORT,2025-10-17 09:15:00,206.68,2025-10-17 11:00:00,210.68,-0.019353590090961874,SL_HIT,GAMMA_HEDGE,CLOSED,206.68,1.0,209.78019999999998,199.4462
ECO_171430,GAMMA,SHORT,2025-10-17 14:30:00,202.0,2025-10-17 15:45:00,205.69,-0.018267326732673256,SL_HIT,GAMMA_HEDGE,CLOSED,202.0,1.0,205.02999999999997,194.93
ECO_171445,GAMMA,SHORT,2025-10-17 14:45:00,203.13,2025-10-17 16:00:00,206.47,-0.016442672180377114,SL_HIT,GAMMA_HEDGE,CLOSED,203.13,1.0,206.17694999999998,196.02044999999998
ECO_172100,GAMMA,SHORT,2025-10-17 21:00:00,209.31,2025-10-18 00:15:00,207.25,0.009841861353972588,SL_HIT,GAMMA_NORMAL,CLOSED,209.31,1.0,206.7687,201.98415
ECO_172215,GAMMA,SHORT,2025-10-17 22:15:00,208.78,2025-10-18 18:45:00,213.05,-0.02045215058913694,SL_HIT,GAMMA_NORMAL,CLOSED,208.78,1.0,212.9556,201.4727
ECO_180330,GAMMA,SHORT,2025-10-18 03:30:00,209.96,2025-10-18 19:30:00,214.24,-0.020384835206706045,SL_HIT,GAMMA_NORMAL,CLOSED,209.96,1.0,214.1592,202.6114
ECO_181845,GAMMA,SHORT,2025-10-18 18:45:00,213.05,2025-10-19 05:15:00,217.37,-0.020276930298052068,SL_HIT,GAMMA_NORMAL,CLOSED,213.05,1.0,217.311,205.59325
ECO_182000,GAMMA,SHORT,2025-10-18 20:00:00,215.24,2025-10-19 09:30:00,215.16,0.0003716781267422993,SL_HIT,GAMMA_NORMAL,CLOSED,215.24,1.0,212.86905,207.7066
ECO_190515,GAMMA,SHORT,2025-10-19 05:15:00,217.37,2025-10-19 09:30:00,215.16,0.010166996365643869,SL_HIT,GAMMA_NORMAL,CLOSED,217.37,1.0,212.86905,209.76205
ECO_191400,GAMMA,SHORT,2025-10-19 14:00:00,224.27,2025-10-20 00:45:00,220.25,0.01792482275828247,SL_HIT,GAMMA_NORMAL,CLOSED,224.27,1.0,219.97439999999997,216.42055
ECO_191415,GAMMA,SHORT,2025-10-19 14:15:00,225.64,2025-10-20 00:45:00,220.25,0.02388760858003894,SL_HIT,GAMMA_NORMAL,CLOSED,225.64,1.0,219.97439999999997,217.74259999999998
ECO_200345,GAMMA,SHORT,2025-10-20 03:45:00,227.69,2025-10-20 06:30:00,233.26,-0.024463085774517956,SL_HIT,GAMMA_NORMAL,CLOSED,227.69,1.0,232.2438,219.72084999999998
ECO_200200,GAMMA,LONG,2025-10-20 02:00:00,220.17,2025-10-20 09:15:00,232.86,0.05763728028341748,SL_HIT,GAMMA_NORMAL,CLOSED,220.17,1.0,232.97925,227.87594999999996
