Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_061415,Gamma_Hybrid,LONG,2025-03-06 14:15:00,218.88,2025-03-06 17:15:00,212.67,-0.028371710526315826,SL_ATR_DYNAMIC,RSI_Reversal,256.59,212.67000000000002,218.88,CLOSED
TH_061915,Gamma_Hybrid,LONG,2025-03-06 19:15:00,211.98,2025-03-07 00:15:00,203.31,-0.040900084913671045,SL_ATR_DYNAMIC,RSI_Reversal,256.59,206.21142857142857,214.63,CLOSED
TH_080900,Gamma_Hybrid,LONG,2025-03-08 09:00:00,186.89,2025-03-09 17:30:00,179.85,-0.037669217186580305,SL_ATR_DYNAMIC,RSI_Reversal,225.7,183.79357142857143,198.82,CLOSED
TH_091845,Gamma_Hybrid,LONG,2025-03-09 18:45:00,179.35,2025-03-10 08:30:00,191.8,0.06941734039587409,TRAILING_STOP_SMART,RSI_Reversal,196.27,168.85642857142858,194.38,CLOSED
TH_101500,Gamma_Hybrid,LONG,2025-03-10 15:00:00,185.93,2025-03-11 00:15:00,175.57,-0.05571989458398329,SL_ATR_DYNAMIC,RSI_Reversal,217.81,176.3,187.31,CLOSED
TH_110045,Gamma_Hybrid,LONG,2025-03-11 00:45:00,173.75,2025-03-12 15:00:00,164.35,-0.054100719424460465,SL_ATR_DYNAMIC,RSI_Reversal,217.81,164.56785714285715,184.75,CLOSED
TH_122145,Gamma_Hybrid,SHORT,2025-03-12 21:45:00,173.03,2025-03-19 11:00:00,177.78,-0.027451886956019186,SL_ATR_DYNAMIC,RSI_Reversal,152.92,177.665,160.68,CLOSED
TH_191200,Gamma_Hybrid,SHORT,2025-03-19 12:00:00,179.73,2025-03-23 07:45:00,184.73,-0.027819507038335283,SL_ATR_DYNAMIC,RSI_Reversal,159.16,184.5492857142857,172.19,CLOSED
TH_230845,Gamma_Hybrid,SHORT,2025-03-23 08:45:00,184.28,2025-03-24 04:30:00,187.62,-0.018124593010636007,SL_ATR_DYNAMIC,RSI_Reversal,176.85,187.21142857142857,181.39,CLOSED
TH_240545,Gamma_Hybrid,SHORT,2025-03-24 05:45:00,188.86,2025-03-24 08:15:00,193.43,-0.02419781848988665,SL_ATR_DYNAMIC,RSI_Reversal,177.82,193.2014285714286,188.86,CLOSED
TH_250400,Gamma_Hybrid,LONG,2025-03-25 04:00:00,187.46,2025-03-26 02:30:00,184.08,-0.01803051317614422,SL_ATR_DYNAMIC,RSI_Reversal,200.6,184.19000000000003,190.64,CLOSED
TH_260800,Gamma_Hybrid,SHORT,2025-03-26 08:00:00,187.18,2025-03-26 18:45:00,176.89,0.0549738219895289,TP_FIBONACCI_EXT,RSI_Reversal,178.11,190.22714285714287,176.89,CLOSED
TH_261915,Gamma_Hybrid,LONG,2025-03-26 19:15:00,175.89,2025-03-28 12:45:00,171.45,-0.025243049633293525,SL_ATR_DYNAMIC,RSI_Reversal,199.63,171.75214285714284,186.85,CLOSED
TH_290030,Gamma_Hybrid,SHORT,2025-03-29 00:30:00,176.63,2025-03-30 07:00:00,166.38,0.05803091207609127,TRAILING_STOP_SMART,RSI_Reversal,162.31,180.08,164.71,CLOSED
TH_302115,Gamma_Hybrid,SHORT,2025-03-30 21:15:00,166.53,2025-03-31 07:30:00,156.95,0.057527172281270716,TP_FIBONACCI_EXT,RSI_Reversal,157.53,169.17857142857142,156.95,CLOSED
TH_311015,Gamma_Hybrid,LONG,2025-03-31 10:15:00,153.77,2025-04-03 12:15:00,149.35,-0.028744228393054662,SL_ATR_DYNAMIC,RSI_Reversal,176.71,149.74785714285713,169.93,CLOSED
TH_031315,Gamma_Hybrid,LONG,2025-04-03 13:15:00,147.39,2025-04-06 13:45:00,142.38,-0.03399145125178093,SL_ATR_DYNAMIC,RSI_Reversal,163.99,142.97785714285712,154.54,CLOSED
TH_061745,Gamma_Hybrid,LONG,2025-04-06 17:45:00,138.32,2025-04-06 18:45:00,133.2,-0.037015615962984416,SL_ATR_DYNAMIC,RSI_Reversal,155.22,134.15428571428572,138.32,CLOSED
TH_062100,Gamma_Hybrid,LONG,2025-04-06 21:00:00,129.66,2025-04-07 03:30:00,122.09,-0.058383464445472724,SL_ATR_DYNAMIC,RSI_Reversal,155.22,123.32142857142858,130.78,CLOSED
TH_070800,Gamma_Hybrid,LONG,2025-04-07 08:00:00,116.54,2025-04-23 01:45:00,158.96,0.36399519478290715,TRAILING_STOP_SMART,RSI_Reversal,177.09,109.92714285714285,161.54,CLOSED
