Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
FL_1129,Flash_Reversal,LONG,2025-04-04 11:29:00,144.84,2025-04-04 12:19:00,146.37,0.010563380281690148,SL_HIT,146.51375,147.25,CLOSED,0.2,True,True
FL_1356,Flash_Reversal,SHORT,2025-04-04 13:56:00,149.32,2025-04-04 14:19:00,148.08,0.008304312885078895,SL_HIT,148.04655,147.31,CLOSED,0.2,True,True
FL_1502,Flash_Reversal,SHORT,2025-04-04 15:02:00,149.58,2025-04-04 15:27:00,150.63,-0.007019655034095353,SL_HIT,149.58,149.58,CLOSED,0.4,True,False
FL_1821,Flash_Reversal,LONG,2025-04-06 18:21:00,135.34,2025-04-06 18:29:00,134.84,-0.003694399290675336,SL_HIT,135.34,135.34,CLOSED,0.4,True,False
FL_1850,Flash_Reversal,LONG,2025-04-06 18:50:00,132.37,2025-04-06 19:12:00,132.2,-0.001284278915162166,SL_HIT,132.37,132.37,CLOSED,0.4,True,False
FL_2036,Flash_Reversal,LONG,2025-04-06 20:36:00,128.79,2025-04-06 21:07:00,130.15,0.010559826073453014,SL_HIT,130.17585000000003,130.83,CLOSED,0.2,True,True
FL_0337,Flash_Reversal,LONG,2025-04-07 03:37:00,123.72,2025-04-07 03:55:00,123.42,-0.0024248302618816455,SL_HIT,123.72,123.72,CLOSED,0.4,True,False
FL_0619,Flash_Reversal,LONG,2025-04-07 06:19:00,121.79,2025-04-07 06:34:00,119.16,-0.021594547992446093,SL_HIT,119.96315,121.79,CLOSED,1.0,False,False
FL_1016,Flash_Reversal,SHORT,2025-04-07 10:16:00,124.78,2025-04-07 10:34:00,124.91,-0.001041833627183807,SL_HIT,124.78,124.78,CLOSED,0.4,True,False
FL_1228,Flash_Reversal,SHORT,2025-04-07 12:28:00,124.97,2025-04-07 12:48:00,123.99,0.007841882051692438,SL_HIT,123.87629999999999,123.26,CLOSED,0.2,True,True
FL_1351,Flash_Reversal,SHORT,2025-04-07 13:51:00,129.64,2025-04-07 14:11:00,131.76,-0.016352977476087664,SL_HIT,131.58459999999997,129.64,CLOSED,1.0,False,False
FL_1453,Flash_Reversal,SHORT,2025-04-07 14:53:00,131.33,2025-04-07 15:11:00,131.28,0.0003807203228509203,SL_HIT,131.207,130.6,CLOSED,0.2,True,True
FL_0111,Flash_Reversal,LONG,2025-04-09 01:11:00,122.31,2025-04-09 01:23:00,120.46,-0.015125500776714974,SL_HIT,120.47535,122.31,CLOSED,1.0,False,False
FL_1333,Flash_Reversal,SHORT,2025-04-09 13:33:00,128.65,2025-04-09 13:51:00,128.85,-0.0015546055188495034,SL_HIT,128.65,128.65,CLOSED,0.4,True,False
FL_1720,Flash_Reversal,SHORT,2025-04-09 17:20:00,131.98,2025-04-09 17:23:00,134.06,-0.015759963630853257,SL_HIT,133.95969999999997,131.98,CLOSED,1.0,False,False
FL_1724,Flash_Reversal,SHORT,2025-04-09 17:24:00,135.01,2025-04-09 17:31:00,137.59,-0.01910969557810542,SL_HIT,137.03515,135.01,CLOSED,1.0,False,False
FL_2100,Flash_Reversal,SHORT,2025-04-09 21:00:00,144.62,2025-04-09 21:23:00,144.04,0.004010510302862761,SL_HIT,144.02655,143.31,CLOSED,0.2,True,True
