Trade_ID,Side,Entry_Time,PnL_Pct,Wait_Time_Min,Exit_Reason,Max_Drawdown
TRD_202508290648_DIR,LONG,2025-08-29 06:48:00,14.91,0.0,TRAILING_WIN,-4.21
TRD_202508290649,LONG,2025-08-29 06:49:00,-2.5,7.0,STOP_LOSS,-0.54
TRD_202508290653_DIR,LONG,2025-08-29 06:53:00,9.96,0.0,TRAILING_WIN,-0.1
TRD_202508290709_DIR,LONG,2025-08-29 07:09:00,-2.5,0.0,STOP_LOSS,-0.78
TRD_202508290756_DIR,LONG,2025-08-29 07:56:00,-2.5,0.0,STOP_LOSS,-0.14
TRD_202508290805_DIR,LONG,2025-08-29 08:05:00,4.66,0.0,TRAILING_WIN,-5.29
TRD_202508290900_DIR,LONG,2025-08-29 09:00:00,-2.5,0.0,STOP_LOSS,-10.42
TRD_202508290901_DIR,LONG,2025-08-29 09:01:00,10.32,0.0,TRAILING_WIN,-7.3
TRD_202508290902_DIR,LONG,2025-08-29 09:02:00,6.16,0.0,TRAILING_WIN,-6.75
TRD_202508290903_DIR,LONG,2025-08-29 09:03:00,16.73,0.0,TRAILING_WIN,-15.19
TRD_202508290904_DIR,LONG,2025-08-29 09:04:00,16.88,0.0,TRAILING_WIN,-9.03
TRD_202508290912_DIR,LONG,2025-08-29 09:12:00,20.96,0.0,TRAILING_WIN,-9.12
TRD_202508291015_DIR,LONG,2025-08-29 10:15:00,18.26,0.0,TRAILING_WIN,-9.1
TRD_202508292116_DIR,SHORT,2025-08-29 21:16:00,1.03,0.0,TRAILING_WIN,-2.61
TRD_202508292124_DIR,SHORT,2025-08-29 21:24:00,1.38,0.0,TRAILING_WIN,-2.64
TRD_202508292129_DIR,SHORT,2025-08-29 21:29:00,1.6,0.0,TRAILING_WIN,-3.01
TRD_202508292133_DIR,SHORT,2025-08-29 21:33:00,1.95,0.0,TRAILING_WIN,-3.29
TRD_202508292138_DIR,SHORT,2025-08-29 21:38:00,2.2,0.0,TRAILING_WIN,-3.42
TRD_202508292139_DIR,SHORT,2025-08-29 21:39:00,2.36,0.0,TRAILING_WIN,-3.63
TRD_202508292144_DIR,SHORT,2025-08-29 21:44:00,2.54,0.0,TRAILING_WIN,0.0
TRD_202508292159_DIR,SHORT,2025-08-29 21:59:00,4.84,0.0,TRAILING_WIN,-2.6
TRD_202508300207_DIR,LONG,2025-08-30 02:07:00,1.0,0.0,TRAILING_WIN,-2.42
TRD_202508300630_DIR,SHORT,2025-08-30 06:30:00,1.47,0.0,TRAILING_WIN,-3.06
TRD_202508300632_DIR,SHORT,2025-08-30 06:32:00,2.0,0.0,TRAILING_WIN,-3.09
TRD_202508300633_DIR,SHORT,2025-08-30 06:33:00,2.02,0.0,TRAILING_WIN,-0.2
TRD_202508300821_DIR,LONG,2025-08-30 08:21:00,-2.5,0.0,STOP_LOSS,-2.7
TRD_202508300829_DIR,LONG,2025-08-30 08:29:00,1.73,0.0,TRAILING_WIN,-0.01
TRD_202508301315_DIR,LONG,2025-08-30 13:15:00,0.53,0.0,TRAILING_WIN,-3.16
TRD_202508310017_DIR,LONG,2025-08-31 00:17:00,-2.5,0.0,STOP_LOSS,-3.5
TRD_202508310019_DIR,LONG,2025-08-31 00:19:00,3.01,0.0,TRAILING_WIN,-0.25
TRD_202508310053_DIR,LONG,2025-08-31 00:53:00,3.18,0.0,TRAILING_WIN,-4.05
TRD_202508310054_DIR,LONG,2025-08-31 00:54:00,3.47,0.0,TRAILING_WIN,0.0
TRD_202508311400_DIR,LONG,2025-08-31 14:00:00,-2.5,0.0,STOP_LOSS,-4.34
TRD_202508311401_DIR,LONG,2025-08-31 14:01:00,3.11,0.0,TRAILING_WIN,-0.04
TRD_202508311823_DIR,LONG,2025-08-31 18:23:00,3.38,0.0,TRAILING_WIN,-4.23
TRD_202508311825_DIR,LONG,2025-08-31 18:25:00,3.37,0.0,TRAILING_WIN,-4.24
TRD_202508311826_DIR,LONG,2025-08-31 18:26:00,3.5,0.0,TRAILING_WIN,-4.34
TRD_202508311844_DIR,LONG,2025-08-31 18:44:00,3.75,0.0,TRAILING_WIN,0.0
TRD_202509010001_DIR,LONG,2025-09-01 00:01:00,1.97,0.0,TRAILING_WIN,0.0
TRD_202509010003_DIR,LONG,2025-09-01 00:03:00,11.29,0.0,TRAILING_WIN,-4.3
TRD_202509010018_DIR,LONG,2025-09-01 00:18:00,-2.5,0.0,STOP_LOSS,-10.78
TRD_202509010026_DIR,LONG,2025-09-01 00:26:00,10.04,0.0,TRAILING_WIN,-2.19
TRD_202509010101_DIR,LONG,2025-09-01 01:01:00,10.26,0.0,TRAILING_WIN,-1.19
TRD_202509010554_DIR,LONG,2025-09-01 05:54:00,9.82,0.0,TRAILING_WIN,-9.89
TRD_202509010931_DIR,LONG,2025-09-01 09:31:00,9.76,0.0,TRAILING_WIN,-10.22
TRD_202509010938_DIR,LONG,2025-09-01 09:38:00,10.0,0.0,TRAILING_WIN,-0.58
TRD_202509011124_DIR,LONG,2025-09-01 11:24:00,9.99,0.0,TRAILING_WIN,-10.02
TRD_202509011131_DIR,LONG,2025-09-01 11:31:00,9.91,0.0,TRAILING_WIN,-10.06
TRD_202509011801,LONG,2025-09-01 18:01:00,0.49,31.0,TRAILING_WIN,-1.33
TRD_202509012035_DIR,LONG,2025-09-01 20:35:00,-2.5,0.0,STOP_LOSS,-3.01
TRD_202509012141_DIR,LONG,2025-09-01 21:41:00,2.07,0.0,TRAILING_WIN,-2.96
TRD_202509012300_DIR,LONG,2025-09-01 23:00:00,-2.5,0.0,STOP_LOSS,-9.64
TRD_202509012301_DIR,LONG,2025-09-01 23:01:00,12.31,0.0,TRAILING_WIN,-1.42
TRD_202509020615_DIR,SHORT,2025-09-02 06:15:00,-2.5,0.0,STOP_LOSS,0.0
TRD_202509020617_DIR,SHORT,2025-09-02 06:17:00,0.53,0.0,TRAILING_WIN,-1.48
TRD_202509020618_DIR,SHORT,2025-09-02 06:18:00,1.01,0.0,TRAILING_WIN,-1.07
TRD_202509021200_DIR,LONG,2025-09-02 12:00:00,0.99,0.0,TRAILING_WIN,-2.64
