Fecha,Estrategia,Side,RSI,SAI_Score,SAI_Level,Accion
1970-01-01 00:29:04.833600,SCALPING_GAMMA,SHORT,68.95213454075032,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.866900,SCALPING_GAMMA,SHORT,83.1223628691981,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.869300,SCALPING_GAMMA,SHORT,79.52218430034097,80,CRITICAL,BLOQUEADA_SAI_CRITICO
1970-01-01 00:29:04.870500,SCALPING_GAMMA,SHORT,73.80191693290686,60,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.893000,SCALPING_GAMMA,SHORT,71.00000000000024,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.910400,SCALPING_GAMMA,SHORT,70.89397089397079,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.917000,SCALPING_GAMMA,LONG,14.985590778097588,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.918800,SCALPING_GAMMA,LONG,17.136150234741578,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.965000,SCALPING_GAMMA,SHORT,70.37974683544357,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.989600,SCALPING_GAMMA,LONG,40.99999999999949,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.031900,SCALPING_GAMMA,SHORT,68.58974358974362,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.058900,SCALPING_GAMMA,LONG,26.76056338028205,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.086800,SCALPING_GAMMA,SHORT,73.49081364829402,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.136900,SCALPING_GAMMA,LONG,36.75889328063267,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.150100,SCALPING_GAMMA,LONG,40.7523510971787,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.164800,SCALPING_GAMMA,LONG,27.155172413792428,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.184900,SCALPING_GAMMA,LONG,25.629290617849364,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.256600,SCALPING_GAMMA,LONG,24.566473988439185,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.287800,SCALPING_GAMMA,SHORT,68.60254083484587,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.307600,SCALPING_GAMMA,SHORT,78.22580645161314,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.326800,SCALPING_GAMMA,SHORT,77.69516728624555,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.335200,SCALPING_GAMMA,SHORT,81.62692847124795,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.348400,SCALPING_GAMMA,SHORT,77.3809523809525,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.407800,SCALPING_GAMMA,SHORT,66.17210682492572,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.436900,SCALPING_GAMMA,LONG,24.57142857142884,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.437500,SCALPING_GAMMA,LONG,29.27689594356268,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.445000,SCALPING_GAMMA,LONG,42.16867469879523,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.449500,SCALPING_GAMMA,SHORT,87.4673629242822,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.466300,SCALPING_GAMMA,LONG,29.279811097992905,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.481600,SCALPING_GAMMA,LONG,40.51593323216992,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.484900,SCALPING_GAMMA,LONG,31.687242798353708,45,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.509800,SCALPING_GAMMA,SHORT,72.9235880398671,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.521200,SCALPING_GAMMA,SHORT,60.68601583113469,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.550300,SCALPING_GAMMA,LONG,31.88405797101443,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.588100,SCALPING_GAMMA,LONG,29.545454545454305,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.593800,SCALPING_GAMMA,SHORT,72.26074895977811,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.632200,SCALPING_GAMMA,SHORT,70.61403508771949,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.648400,SCALPING_GAMMA,SHORT,65.18324607329852,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.660700,SCALPING_GAMMA,LONG,19.12479740680719,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.669100,SCALPING_GAMMA,LONG,28.413284132841014,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.681700,SCALPING_GAMMA,SHORT,75.20435967302453,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.713500,SCALPING_GAMMA,SHORT,87.65100671140955,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.719500,SCALPING_GAMMA,LONG,27.616279069767387,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.731800,SCALPING_GAMMA,LONG,29.285714285714008,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.757300,SCALPING_GAMMA,LONG,48.73417721519014,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.768700,SCALPING_GAMMA,LONG,22.307692307691998,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.778000,SCALPING_GAMMA,SHORT,72.51655629139108,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
