Date,Type,Side,PnL_Pct,Reason,Capital
2025-08-18 13:00:00,REV,SHORT,-1.08,SL_HIT,500.51
2025-08-18 20:00:00,REV,SHORT,0.85,TP_MEAN,504.79
2025-08-18 22:45:00,REV,SHORT,0.8,TP_MEAN,508.85
2025-08-19 00:45:00,REV,LONG,1.25,TP_MEAN,515.2
2025-08-19 06:30:00,REV,LONG,0.41,TP_MEAN,517.29
2025-08-19 11:15:00,REV,SHORT,-0.94,SL_HIT,512.41
2025-08-19 14:15:00,REV,LONG,-1.03,SL_HIT,507.14
2025-08-19 19:15:00,REV,LONG,0.97,TP_MEAN,512.08
2025-08-20 06:15:00,REV,SHORT,-0.65,TIME_STOP,508.76
2025-08-20 08:45:00,REV,SHORT,-1.35,SL_HIT,501.87
2025-08-20 14:30:00,REV,LONG,0.76,TP_MEAN,505.69
2025-08-20 18:00:00,REV,SHORT,0.23,TIME_STOP,506.84
2025-08-20 22:15:00,REV,SHORT,-0.4,TIME_STOP,504.83
2025-08-21 02:15:00,REV,SHORT,0.61,TP_MEAN,507.93
2025-08-21 14:00:00,REV,LONG,0.48,TP_MEAN,510.36
2025-08-22 02:15:00,REV,SHORT,-1.04,SL_HIT,505.04
2025-08-22 09:15:00,REV,SHORT,1.18,TP_MEAN,510.97
2025-08-22 12:30:00,REV,LONG,-1.54,SL_HIT,503.11
2025-08-23 03:00:00,REV,SHORT,1.21,TP_MEAN,509.21
2025-08-23 09:30:00,REV,LONG,0.92,TP_MEAN,513.91
2025-08-24 08:00:00,REV,LONG,0.51,TP_MEAN,516.53
2025-08-24 13:00:00,REV,LONG,0.49,TP_MEAN,519.06
2025-08-24 16:45:00,REV,SHORT,0.52,TP_MEAN,521.75
2025-08-24 19:30:00,REV,SHORT,1.18,TP_MEAN,527.89
2025-08-25 01:15:00,REV,LONG,1.08,TP_MEAN,533.58
2025-08-25 14:00:00,TREND,SHORT,4.45,TREND_BROKEN,557.3
2025-08-25 19:15:00,REV,LONG,-0.8,SL_HIT,552.86
2025-08-25 20:00:00,REV,LONG,-1.43,SL_HIT,544.94
2025-08-26 11:30:00,REV,SHORT,1.01,TP_MEAN,550.44
2025-08-26 13:30:00,REV,SHORT,1.38,TP_MEAN,558.02
2025-08-26 16:30:00,REV,LONG,1.02,TP_MEAN,563.71
2025-08-26 20:45:00,REV,SHORT,-1.21,SL_HIT,556.89
2025-08-27 01:15:00,REV,LONG,-0.85,SL_HIT,552.18
2025-08-27 08:45:00,REV,LONG,-0.76,SL_HIT,548.0
2025-08-27 12:15:00,REV,SHORT,0.46,TP_MEAN,550.54
2025-08-27 14:30:00,TREND,SHORT,-0.79,SL_HIT,546.19
2025-08-27 19:30:00,REV,LONG,0.69,TP_MEAN,549.97
2025-08-28 01:00:00,REV,LONG,0.03,TIME_STOP,550.16
2025-08-28 03:45:00,REV,SHORT,-0.71,SL_HIT,546.25
2025-08-28 09:00:00,REV,LONG,-0.75,SL_HIT,542.17
2025-08-28 16:15:00,REV,LONG,0.51,TP_MEAN,544.96
2025-08-28 21:30:00,REV,LONG,0.68,TP_MEAN,548.68
2025-08-29 05:45:00,REV,LONG,0.38,TP_MEAN,550.79
2025-08-29 06:30:00,REV,LONG,-0.68,SL_HIT,547.06
2025-08-29 13:45:00,REV,SHORT,0.94,TP_MEAN,552.18
2025-08-30 04:45:00,REV,LONG,0.98,TIME_STOP,557.58
2025-08-30 08:15:00,REV,SHORT,0.6,TP_MEAN,560.92
2025-08-30 14:45:00,REV,LONG,0.57,TP_MEAN,564.11
2025-08-30 23:00:00,REV,SHORT,-0.48,SL_HIT,561.4
2025-08-31 03:45:00,REV,SHORT,-0.73,TIME_STOP,557.29
2025-08-31 08:00:00,REV,LONG,0.64,TP_MEAN,560.84
2025-08-31 13:30:00,REV,SHORT,0.26,TP_MEAN,562.27
2025-08-31 20:45:00,REV,SHORT,0.34,TP_MEAN,564.16
2025-08-31 23:30:00,REV,LONG,-0.82,SL_HIT,559.53
2025-09-01 07:15:00,REV,LONG,0.44,TP_MEAN,561.98
2025-09-01 07:45:00,REV,SHORT,-0.84,SL_HIT,557.24
2025-09-01 17:15:00,REV,LONG,-0.8,SL_HIT,552.75
2025-09-01 23:30:00,REV,LONG,0.54,TIME_STOP,555.75
2025-09-02 04:00:00,REV,SHORT,-1.38,SL_HIT,548.09
2025-09-02 07:30:00,REV,SHORT,0.96,TP_MEAN,553.37
2025-09-02 12:45:00,REV,LONG,-0.84,SL_HIT,548.74
2025-09-02 23:15:00,REV,SHORT,-0.11,TIME_STOP,548.13
2025-09-03 01:45:00,REV,LONG,0.34,TP_MEAN,550.02
2025-09-03 12:45:00,REV,SHORT,0.15,TP_MEAN,550.85
2025-09-03 16:30:00,REV,SHORT,0.68,TP_MEAN,554.6
2025-09-03 21:30:00,REV,SHORT,0.41,TP_MEAN,556.85
2025-09-04 00:30:00,REV,SHORT,-0.5,SL_HIT,554.09
2025-09-04 12:30:00,REV,SHORT,0.66,TP_MEAN,557.77
2025-09-04 15:15:00,REV,LONG,-1.14,SL_HIT,551.43
2025-09-05 01:45:00,REV,LONG,0.4,TP_MEAN,553.66
2025-09-05 07:15:00,REV,SHORT,-0.59,SL_HIT,550.4
2025-09-05 14:00:00,REV,SHORT,0.54,TP_MEAN,553.35
2025-09-05 21:15:00,REV,SHORT,0.59,TP_MEAN,556.64
2025-09-06 05:45:00,REV,LONG,0.17,TP_MEAN,557.6
2025-09-06 15:00:00,REV,SHORT,0.22,TP_MEAN,558.83
2025-09-06 21:45:00,REV,LONG,0.25,TP_MEAN,560.24
2025-09-07 01:45:00,REV,SHORT,-0.47,SL_HIT,557.63
2025-09-07 09:00:00,REV,SHORT,0.21,TP_MEAN,558.8
2025-09-07 09:30:00,REV,LONG,-0.4,SL_HIT,556.54
2025-09-07 19:30:00,REV,LONG,0.21,TP_MEAN,557.7
2025-09-07 22:45:00,REV,SHORT,-0.55,SL_HIT,554.63
2025-09-07 23:45:00,REV,SHORT,0.79,TP_MEAN,559.0
2025-09-08 10:15:00,REV,SHORT,-0.56,SL_HIT,555.86
2025-09-08 13:30:00,REV,SHORT,-0.81,SL_HIT,551.39
2025-09-08 21:45:00,REV,LONG,0.31,TP_MEAN,553.11
2025-09-09 04:15:00,REV,LONG,0.31,TP_MEAN,554.82
2025-09-09 06:45:00,REV,SHORT,-0.86,SL_HIT,550.05
2025-09-09 12:15:00,REV,LONG,0.56,TP_MEAN,553.11
2025-09-09 14:00:00,REV,LONG,-1.09,SL_HIT,547.1
2025-09-09 17:30:00,REV,LONG,-0.54,TIME_STOP,544.13
2025-09-10 01:15:00,TREND,SHORT,-0.53,SL_HIT,541.27
2025-09-10 03:15:00,REV,SHORT,0.6,TP_MEAN,544.51
2025-09-10 22:00:00,REV,LONG,0.01,TP_MEAN,544.55
2025-09-11 04:45:00,REV,SHORT,-0.79,SL_HIT,540.26
2025-09-11 07:45:00,REV,SHORT,0.85,TP_MEAN,544.86
2025-09-11 12:30:00,REV,SHORT,0.65,TP_MEAN,548.43
2025-09-11 13:45:00,REV,LONG,0.83,TP_MEAN,552.96
2025-09-11 19:30:00,REV,SHORT,-0.55,SL_HIT,549.92
2025-09-12 01:45:00,REV,SHORT,0.73,TP_MEAN,553.91
2025-09-12 05:45:00,REV,SHORT,-0.68,SL_HIT,550.14
2025-09-12 10:30:00,REV,LONG,0.99,TP_MEAN,555.59
2025-09-13 00:15:00,REV,SHORT,0.42,TP_MEAN,557.94
2025-09-13 08:30:00,REV,LONG,0.33,TP_MEAN,559.77
