Trade_ID,Side,Entry_Time,Exit_Time,PnL_Pct,Max_Drawdown,Exit_Reason,Pre_Entry_1_RSI_M5,Pre_Entry_1_BB_Pos_H1,Has_Severe_DD,DD_Depth,Pre_Crash_1_RSI_M5,Pre_Crash_2_RSI_M5,Pre_Crash_3_RSI_M5,Pre_Crash_4_RSI_M5,Pre_Crash_5_RSI_M5,Pre_Entry_2_RSI_M5,Pre_Entry_2_BB_Pos_H1,Pre_Entry_3_RSI_M5,Pre_Entry_3_BB_Pos_H1,Pre_Entry_4_RSI_M5,Pre_Entry_4_BB_Pos_H1,Pre_Entry_5_RSI_M5,Pre_Entry_5_BB_Pos_H1
TRD_202511022355_466630,SHORT,2025-11-02 23:55:00,2025-11-03 05:08:00,5.43,-1.6,TRAILING_WIN,91.48936170212752,1.0557882716483429,True,-0.012220621718321618,64.64088397790056,53.47222222222226,53.47222222222226,53.47222222222226,53.47222222222226,91.7419354838708,1.0557882716483429,91.7419354838708,1.0557882716483429,91.7419354838708,1.0557882716483429,91.7419354838708,1.0557882716483429
TRD_202511030555_466990,LONG,2025-11-03 05:55:00,2025-11-03 06:41:00,-1.45,-1.62,TRAILING_LOSS,39.609644087256186,-0.04027383990403196,True,-0.01615840844346896,4.094488188976655,4.094488188976655,4.841713221601822,4.841713221601822,4.841713221601822,41.51376146788997,-0.04027383990403196,41.51376146788997,-0.04027383990403196,41.51376146788997,-0.04027383990403196,41.51376146788997,-0.04027383990403196
TRD_202511030641_467036,LONG,2025-11-03 06:41:00,2025-11-03 10:34:00,0.22,-1.51,TRAILING_WIN,4.094488188976655,-0.07699290999623085,True,-0.015068812689526428,32.64957264957279,32.64957264957279,32.64957264957279,32.64957264957279,32.64957264957279,4.094488188976655,-0.07699290999623085,4.841713221601822,-0.07699290999623085,4.841713221601822,-0.07699290999623085,4.841713221601822,-0.07699290999623085
TRD_202511031045_467280,LONG,2025-11-03 10:45:00,2025-11-03 14:32:00,0.53,-1.5,TRAILING_WIN,36.55913978494634,0.10726245814177351,True,-0.010931249418550537,43.599257884972175,43.599257884972175,44.17293233082726,44.17293233082726,44.17293233082726,34.8540145985403,0.10726245814177351,34.8540145985403,0.10726245814177351,34.8540145985403,0.10726245814177351,34.8540145985403,0.10726245814177351
TRD_202511031502_467537,LONG,2025-11-03 15:02:00,2025-11-03 15:26:00,-1.0,-1.88,TRAILING_LOSS,26.339969372128607,-0.010011396937038671,True,-0.018752952290977794,9.180035650624092,9.180035650624092,16.401273885350633,16.401273885350633,16.401273885350633,26.339969372128607,-0.010011396937038671,26.339969372128607,-0.010011396937038671,29.35153583617739,0.2710319597781874,29.35153583617739,0.2710319597781874
TRD_202511031526_467561,LONG,2025-11-03 15:26:00,2025-11-03 15:29:00,-2.0,-2.12,STOP_LOSS,9.180035650624092,-0.010011396937038671,True,-0.021181341164010867,9.180035650624092,9.180035650624092,9.180035650624092,9.180035650624092,9.180035650624092,9.180035650624092,-0.010011396937038671,16.401273885350633,-0.010011396937038671,16.401273885350633,-0.010011396937038671,16.401273885350633,-0.010011396937038671
TRD_202511031529_467564,LONG,2025-11-03 15:29:00,2025-11-03 15:30:00,-2.0,-3.16,STOP_LOSS,9.180035650624092,-0.010011396937038671,True,-0.031475925834849774,7.646622123237009,9.180035650624092,9.180035650624092,9.180035650624092,9.180035650624092,9.180035650624092,-0.010011396937038671,9.180035650624092,-0.010011396937038671,9.180035650624092,-0.010011396937038671,9.180035650624092,-0.010011396937038671
TRD_202511031530_467565,LONG,2025-11-03 15:30:00,2025-11-03 15:48:00,2.38,-1.93,TRAILING_WIN,7.646622123237009,-0.010011396937038671,True,-0.019297474229322334,22.9879275653924,22.9879275653924,22.9879275653924,22.9879275653924,25.36427415002703,9.180035650624092,-0.010011396937038671,9.180035650624092,-0.010011396937038671,9.180035650624092,-0.010011396937038671,9.180035650624092,-0.010011396937038671
TRD_202511031550_467585,LONG,2025-11-03 15:50:00,2025-11-03 19:03:00,1.4,-1.53,TRAILING_WIN,23.472008217771005,-0.010011396937038671,True,-0.011124008512284693,56.80880330123805,68.88519134775362,68.88519134775362,68.88519134775362,68.88519134775362,22.9879275653924,-0.010011396937038671,22.9879275653924,-0.010011396937038671,22.9879275653924,-0.010011396937038671,22.9879275653924,-0.010011396937038671
TRD_202511032045_467880,LONG,2025-11-03 20:45:00,2025-11-03 22:30:00,-1.16,-1.68,TRAILING_LOSS,26.3422818791946,0.1005112668614726,True,-0.01275560849712127,25.201072386058897,25.201072386058897,25.201072386058897,33.15696649029982,33.15696649029982,35.357142857142705,0.1005112668614726,35.357142857142705,0.1005112668614726,35.357142857142705,0.1005112668614726,35.357142857142705,0.1005112668614726
