Strategy,Side,PnL,Time,Reason
SWING,LONG,-2.0,2025-10-21 04:00:00,SL_HIT
TREND,SHORT,-0.55,2025-10-21 10:30:00,SL_TRAIL
TREND,SHORT,-0.86,2025-10-21 10:45:00,SL_TRAIL
TREND,SHORT,-0.45,2025-10-21 12:15:00,SL_TRAIL
TREND,SHORT,-1.0,2025-10-21 14:00:00,SL_TRAIL
SWING,LONG,3.0,2025-10-21 14:15:00,TP_HIT
SWING,LONG,3.0,2025-10-21 14:45:00,TP_HIT
SWING,LONG,3.0,2025-10-21 14:45:00,TP_HIT
SWING,SHORT,-2.0,2025-10-21 14:45:00,SL_HIT
TREND,LONG,-2.39,2025-10-21 17:15:00,SL_TRAIL
TREND,LONG,-1.73,2025-10-21 20:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-21 20:15:00,TP_HIT
SWING,SHORT,3.0,2025-10-21 20:15:00,TP_HIT
SWING,SHORT,3.0,2025-10-21 21:15:00,TP_HIT
SWING,LONG,-2.0,2025-10-21 22:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-21 22:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-21 23:30:00,SL_HIT
SWING,LONG,-2.0,2025-10-21 23:30:00,SL_HIT
SWING,LONG,-2.0,2025-10-22 00:30:00,SL_HIT
TREND,SHORT,-1.55,2025-10-22 04:45:00,SL_TRAIL
TREND,SHORT,1.39,2025-10-22 11:00:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-22 11:00:00,SL_HIT
SWING,LONG,-2.0,2025-10-22 11:00:00,SL_HIT
TREND,SHORT,-1.04,2025-10-22 11:45:00,SL_TRAIL
SWING,LONG,3.0,2025-10-22 11:45:00,TP_HIT
TREND,SHORT,-1.92,2025-10-22 13:45:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-22 20:45:00,TP_HIT
SWING,SHORT,3.0,2025-10-22 20:45:00,TP_HIT
SWING,SHORT,3.0,2025-10-22 21:00:00,TP_HIT
TREND,SHORT,1.82,2025-10-22 23:15:00,SL_TRAIL
TREND,SHORT,-1.96,2025-10-23 06:15:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-23 06:15:00,SL_HIT
SWING,SHORT,-2.0,2025-10-23 06:15:00,SL_HIT
SWING,SHORT,-2.0,2025-10-23 06:45:00,SL_HIT
TREND,SHORT,-0.86,2025-10-23 13:30:00,SL_TRAIL
TREND,SHORT,-1.14,2025-10-23 15:00:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-23 16:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-23 16:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-23 17:30:00,SL_HIT
TREND,LONG,0.84,2025-10-23 19:00:00,SL_TRAIL
TREND,LONG,-0.89,2025-10-23 20:45:00,SL_TRAIL
TREND,LONG,1.63,2025-10-24 04:15:00,SL_TRAIL
SWING,LONG,3.0,2025-10-24 04:15:00,TP_HIT
TREND,LONG,0.29,2025-10-24 04:30:00,SL_TRAIL
SWING,LONG,3.0,2025-10-24 04:30:00,TP_HIT
SWING,LONG,3.0,2025-10-24 04:30:00,TP_HIT
TREND,LONG,-0.16,2025-10-24 06:15:00,SL_TRAIL
TREND,LONG,-1.24,2025-10-24 07:45:00,SL_TRAIL
TREND,LONG,-0.62,2025-10-24 11:00:00,SL_TRAIL
