Trade_ID,Strategy,Mode,Side,Entry_Time,Entry_Price,status,Is_Risk_Free,Peak_Price,Rem_Qty,TP1_Hit,TP2_Hit,SL,Fibo_Target,Exit_Price,Exit_Time,Exit_Reason,PnL_Pct
G_081745,GAMMA,GAMMA_HEDGE,SHORT,2025-01-08 17:45:00,285.09,CLOSED,False,285.09,1.0,False,False,289.36634999999995,272.26095,292.12,2025-01-08 18:15:00,SL_HIT,-0.024658879652039813
G_090630,GAMMA,GAMMA_HEDGE,SHORT,2025-01-09 06:30:00,288.52,CLOSED,True,282.92,1.0,False,False,284.36260000000004,275.53659999999996,286.58,2025-01-09 08:30:00,SL_HIT,0.006723970608623312
S_081200,SWING,SWING_NORMAL,LONG,2025-01-08 12:00:00,293.86,CLOSED,False,299.64,1.0,False,False,276.2284,329.12320000000005,275.51,2025-01-09 13:45:00,SL_HIT,-0.06244470155856538
S_081300,SWING,SWING_NORMAL,LONG,2025-01-08 13:00:00,294.12,CLOSED,False,299.64,1.0,False,False,276.4728,329.41440000000006,275.51,2025-01-09 13:45:00,SL_HIT,-0.06327349381204955
G_091730,GAMMA,GAMMA_HEDGE,LONG,2025-01-09 17:30:00,286.21,CLOSED,False,286.21,1.0,False,False,281.91684999999995,299.08944999999994,280.17,2025-01-09 19:15:00,SL_HIT,-0.02110338562593887
G_092030,GAMMA,GAMMA_HEDGE,SHORT,2025-01-09 20:30:00,277.23,CLOSED,False,277.23,1.0,False,False,281.38845,264.75465,282.9,2025-01-09 22:30:00,SL_HIT,-0.02045233199870129
G_092045,GAMMA,GAMMA_HEDGE,SHORT,2025-01-09 20:45:00,278.19,CLOSED,False,278.19,1.0,False,False,282.36285,265.67145,282.9,2025-01-09 22:30:00,SL_HIT,-0.01693087458212006
G_100745,GAMMA,GAMMA_HEDGE,LONG,2025-01-10 07:45:00,297.4,CLOSED,False,297.4,1.0,False,False,292.93899999999996,310.78299999999996,291.31,2025-01-10 10:15:00,SL_HIT,-0.020477471418964274
G_101345,GAMMA,GAMMA_HEDGE,SHORT,2025-01-10 13:45:00,282.18,CLOSED,True,277.44,1.0,False,False,278.8509,269.4819,279.38,2025-01-10 15:15:00,SL_HIT,0.0099227443475796
G_112130,GAMMA,GAMMA_HEDGE,LONG,2025-01-11 21:30:00,291.47,CLOSED,False,291.72,1.0,False,False,287.09795,304.58615000000003,286.99,2025-01-12 00:00:00,SL_HIT,-0.015370364016880014
G_131200,GAMMA,GAMMA_HEDGE,SHORT,2025-01-13 12:00:00,261.91,CLOSED,False,261.91,1.0,False,False,265.83865,250.12405,269.51,2025-01-13 14:30:00,SL_HIT,-0.029017601466152364
S_131200,SWING,SWING_HEDGE,SHORT,2025-01-13 12:00:00,262.3,CLOSED,False,262.3,1.0,False,False,270.16900000000004,230.824,271.03,2025-01-13 14:45:00,SL_HIT,-0.03328250095310698
S_131300,SWING,SWING_HEDGE,SHORT,2025-01-13 13:00:00,265.21,CLOSED,False,264.92,1.0,False,False,273.1663,233.38479999999998,274.55,2025-01-13 15:00:00,SL_HIT,-0.03521737491044845
G_132300,GAMMA,GAMMA_HEDGE,LONG,2025-01-13 23:00:00,293.43,CLOSED,False,293.43,1.0,False,False,289.02855,306.63435,287.43,2025-01-14 00:00:00,SL_HIT,-0.020447806972702178
S_132200,SWING,SWING_HEDGE,LONG,2025-01-13 22:00:00,295.81,CLOSED,False,295.81,1.0,False,False,286.9357,331.3072,286.93,2025-01-14 00:30:00,SL_HIT,-0.030019269125452133
G_151630,GAMMA,GAMMA_HEDGE,LONG,2025-01-15 16:30:00,316.0,CLOSED,True,322.77,1.0,False,False,321.19,330.21999999999997,318.73,2025-01-15 20:30:00,SL_HIT,0.00863924050632917
G_151645,GAMMA,GAMMA_HEDGE,LONG,2025-01-15 16:45:00,313.59,CLOSED,True,322.77,1.0,False,False,321.20205,327.70154999999994,318.73,2025-01-15 20:30:00,SL_HIT,0.016390828789183468
G_160330,GAMMA,GAMMA_HEDGE,SHORT,2025-01-16 03:30:00,311.55,CLOSED,True,306.4,1.0,False,False,307.95775,297.53025,308.81,2025-01-16 09:45:00,SL_HIT,0.008794735997432223
G_162330,GAMMA,GAMMA_HEDGE,SHORT,2025-01-16 23:30:00,310.47,CLOSED,False,310.47,1.0,False,False,315.12705,296.49885,316.31,2025-01-17 01:15:00,SL_HIT,-0.01881019100074073
S_040200,SWING,SWING_NORMAL,SHORT,2025-01-04 02:00:00,344.59,CLOSED,True,256.66,0.39999999999999997,True,True,323.91459999999995,303.2392,325.07,2025-01-17 02:00:00,SL_HIT,0.05664702980353459
