Date,Side,PnL_Pct,Reason,Capital
2025-12-01 19:45:00,SHORT,-0.6,TREND_BROKEN,612.83
2025-12-04 16:30:00,LONG,-0.85,SL_HIT,607.61
2025-12-05 15:00:00,SHORT,-1.08,TREND_BROKEN,601.03
2025-12-06 07:00:00,LONG,-0.72,TREND_BROKEN,596.7
2025-12-06 09:30:00,SHORT,-0.93,TREND_BROKEN,591.17
2025-12-08 20:00:00,SHORT,0.71,TREND_BROKEN,595.39
2025-12-08 22:30:00,LONG,-0.84,TREND_BROKEN,590.37
2025-12-09 07:15:00,SHORT,-0.64,TREND_BROKEN,586.62
2025-12-10 12:30:00,SHORT,-0.68,TREND_BROKEN,582.64
2025-12-10 20:45:00,LONG,-0.32,TREND_BROKEN,580.77
2025-12-12 04:15:00,LONG,5.14,TREND_BROKEN,610.62
2025-12-13 19:00:00,SHORT,-0.85,TREND_BROKEN,605.41
2025-12-14 08:00:00,SHORT,0.59,TREND_BROKEN,608.99
2025-12-14 20:00:00,SHORT,0.54,TREND_BROKEN,612.27
2025-12-17 01:45:00,LONG,-0.56,SL_HIT,608.87
2025-12-17 20:15:00,SHORT,-1.19,TREND_BROKEN,601.64
2025-12-18 08:00:00,SHORT,-1.02,TREND_BROKEN,595.5
2025-12-19 10:15:00,LONG,2.85,TREND_BROKEN,612.49
2025-12-19 15:30:00,LONG,-1.04,SL_HIT,606.1
2025-12-20 11:30:00,SHORT,-0.61,TREND_BROKEN,602.43
2025-12-23 01:00:00,SHORT,1.03,TREND_BROKEN,608.63
2025-12-25 10:00:00,LONG,-0.61,TREND_BROKEN,604.93
2025-12-25 17:00:00,LONG,0.21,TREND_BROKEN,606.22
2025-12-26 15:45:00,SHORT,-1.59,TREND_BROKEN,596.6
