2025-12-19 21:45:41,059 | INFO | [MAIN] ✅ Sistema ONLINE.
2025-12-19 21:45:41,728 | INFO | [TELEGRAM] 👂 Escuchando comandos...
2025-12-19 21:46:36,108 | INFO | [MAIN] Usuario solicitó detención.
2025-12-19 21:50:36,589 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-19 21:50:39,715 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 00:18:05,136 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 00:18:05,136 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 00:18:06,722 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1023ms
2025-12-20 00:18:08,189 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 00:18:08,192 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 00:18:08,192 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:18:08,193 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:24:50,047 | INFO | [MAIN] ✅ Sistema sincronizado y listo para operar.
2025-12-20 00:24:50,049 | INFO | [MAIN] --- BUCLE PRINCIPAL INICIADO ---
2025-12-20 00:24:50,050 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:24:56,743 | INFO | [MAIN] 🛑 Detención manual por usuario.
2025-12-20 00:37:52,354 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 00:37:52,355 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 00:37:53,790 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1031ms
2025-12-20 00:37:55,146 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 00:37:55,148 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 00:37:55,149 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:37:55,785 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:38:51,048 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 00:38:51,049 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 00:38:52,262 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1065ms
2025-12-20 00:38:53,806 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 00:38:53,808 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 00:38:53,809 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:38:54,488 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:39:06,904 | INFO | [MAIN] ✅ Sistema sincronizado y listo para operar.
2025-12-20 00:39:06,905 | INFO | [MAIN] --- BUCLE PRINCIPAL INICIADO ---
2025-12-20 00:39:06,905 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:39:07,464 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:39:18,629 | ERROR | [MAIN] ❌ CRITICO: Error en bucle principal: 'Comptroller' object has no attribute 'auditar_posiciones_activas'
2025-12-20 00:43:16,045 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 00:43:16,046 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 00:43:17,789 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1052ms
2025-12-20 00:43:19,323 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 00:43:19,324 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 00:43:19,325 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:43:20,351 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:43:32,234 | INFO | [MAIN] ✅ Sistema sincronizado y listo para operar.
2025-12-20 00:43:32,236 | INFO | [MAIN] --- BUCLE PRINCIPAL INICIADO ---
2025-12-20 00:43:32,236 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:44:32,517 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:44:33,104 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:45:32,624 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:45:33,205 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:46:32,648 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:46:33,909 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:47:33,161 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:47:34,756 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:48:34,482 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:48:35,901 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:49:34,996 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:49:36,316 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:50:36,448 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:50:38,029 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:51:37,386 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:51:38,779 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:52:37,951 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:52:39,461 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:53:38,317 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:53:40,919 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:54:38,671 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:54:40,242 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:55:39,048 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:55:40,738 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 00:55:43,888 | INFO | [MAIN] 🛑 Detención manual por usuario.
2025-12-20 00:56:04,234 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 00:56:04,235 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 00:56:06,002 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1065ms
2025-12-20 00:56:07,538 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 00:56:07,538 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 00:56:07,539 | INFO | [DATA_MINER] ⏳ Sincronizando datos...
2025-12-20 00:56:07,655 | INFO | [DATA_MINER] 📥 Descargando nuevos datos 1m...
2025-12-20 01:11:30,832 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 01:11:30,833 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 01:11:32,262 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1018ms
2025-12-20 01:11:33,861 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 01:11:33,862 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 01:11:33,865 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: FULL_DOWNLOAD (Inicial)
2025-12-20 01:18:05,049 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+525606 velas)
2025-12-20 01:18:05,062 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:18:17,006 | INFO | [MAIN] ✅ Sistema sincronizado y listo para operar.
2025-12-20 01:18:17,007 | INFO | [MAIN] --- BUCLE PRINCIPAL INICIADO ---
2025-12-20 01:20:20,054 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:20:20,809 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+3 velas)
2025-12-20 01:20:20,812 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:23:23,130 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:23:23,799 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+3 velas)
2025-12-20 01:23:23,807 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:26:25,654 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:26:26,359 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+3 velas)
2025-12-20 01:26:26,367 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:29:28,404 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:29:29,232 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+3 velas)
2025-12-20 01:29:29,249 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:29:45,289 | INFO | [MAIN] 🛑 Detención manual por usuario.
2025-12-20 01:30:11,072 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 01:30:11,073 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 01:30:12,448 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1003ms
2025-12-20 01:30:13,792 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 01:30:13,794 | ERROR | [MAIN] ❌ ADVERTENCIA: Telegram no pudo iniciar: TelegramBot.__init__() missing 4 required positional arguments: 'comptroller', 'order_manager', 'logger', and 'financials'
